%time,field.data
1306690000000,1.01869368553
1306710000000,1.01752185822
1306720000000,1.01864337921
1306750000000,1.01715373993
1306770000000,1.01727867126
1306790000000,1.01558160782
1306810000000,1.01462078094
1306830000000,1.01256990433
1306850000000,1.00984716415
1306870000000,1.00456762314
1306870000000,0.998393058777
1306910000000,0.989958643913
1306920000000,0.975493192673
1306950000000,0.959357857704
1306990000000,0.942356348038
1306990000000,0.92639374733
1307030000000,0.912098646164
1307030000000,0.897332429886
1307070000000,0.882897138596
1307070000000,0.868036746979
1307130000000,0.855600953102
1307130000000,0.842647910118
1307130000000,0.831146717072
1307170000000,0.82045352459
1307170000000,0.809187173843
1307190000000,0.797165632248
1307210000000,0.784574508667
1307250000000,0.772248625755
1307250000000,0.758573532104
1307290000000,0.74669444561
1307290000000,0.732221126556
1307330000000,0.717146396637
1307330000000,0.702678322792
1307370000000,0.688332676888
1307370000000,0.672135353088
1307400000000,0.656557798386
1307410000000,0.640066146851
1307470000000,0.624433159828
1307470000000,0.61526799202
1307470000000,0.60584461689
1307510000000,0.59590446949
1307510000000,0.587493658066
1307510000000,0.577699065208
1307530000000,0.566966414452
1307570000000,0.557095646858
1307630000000,0.546843647957
1307630000000,0.536747813225
1307630000000,0.527512788773
1307670000000,0.517444372177
1307670000000,0.509796619415
1307670000000,0.499418258667
1307690000000,0.489050388336
1307750000000,0.480964064598
1307750000000,0.471452832222
1307790000000,0.46191239357
1307790000000,0.451554536819
1307830000000,0.4410353899
1307830000000,0.431086301804
1307870000000,0.42124569416
1307870000000,0.408571004868
1307920000000,0.396947741508
1307920000000,0.385380864143
1307970000000,0.373921751976
1307970000000,0.363743543625
1307970000000,0.353699684143
1308010000000,0.342662334442
1308010000000,0.331020355225
1308030000000,0.321234107018
1308050000000,0.309923291206
1308090000000,0.298549413681
1308120000000,0.289134502411
1308120000000,0.277958154678
1308120000000,0.267828345299
1308160000000,0.258906841278
1308160000000,0.248872756958
1308180000000,0.238180279732
1308210000000,0.227565407753
1308250000000,0.216894507408
1308290000000,0.207692146301
1308290000000,0.196276426315
